Company name,ID,Category,Sector (EMF input),2021 total weight of new packaging (metric tonnes)
PolyExpert Inc.,,Packaging producers,Packaging,Submitted to the Foundation only
Poppelmann Holding GmbH & Co. KG,,Packaging producers,Packaging,"51,380"
Reborn,,Packaging producers,Packaging,Submitted to the Foundation only
Reckitt,Q1190881,Packaged goods companies,household and personal care,"198,927"
S Group,,Retailers,Retail,"10,190"
SC Johnson,Q683170,Packaged goods companies,household and personal care,"91,271"
Schwarz Group (Lidl & Kaufland),Q712034,Retailers,Retail,"710,068"
Serioplast Global Services Spa,,Packaging producers,Packaging,Submitted to the Foundation only
Silafrica Plastics & Packaging Intl Ltd,,Packaging producers,Packaging,"12,609"
Silgan Plastics,,Packaging producers,Packaging,Submitted to the Foundation only
SONAE MC,Q2035375,Retailers,Retail,"22,218"
Sovena Group,,Packaged goods companies,food,"10,439"
Spadel,,Packaged goods companies,beverages,"22,641"
Starbucks Coffee Company,Q37158,Retailers,beverages,"150,834"
Stella McCartney,,Retailers,"Apparel, footwear & accessories",17
Superdry Plc,,Retailers,"Apparel, footwear & accessories",314
Swire Coca-Cola Ltd.,,Packaging producers,Packaging,"264,630"
Target Corporation,Q1046951,Retailers,Retail,"53,595"
TC Transcontinental,,Packaging producers,Packaging,"171,280"
"Termoencogibles, SA de CV",,Packaging producers,Packaging,"43,192"
The Clorox Company,Q910368,Packaged goods companies,household and personal care,"102,485"
The Coca-Cola Company,Q3295867,Packaged goods companies,beverages,"3,224,395"
Tupperware,,Packaged goods companies,other,"1,646"
Unilever,Q157062,Packaged goods companies,household and personal care,"713,000"
ValGroup,,Packaging producers,Packaging,Submitted to the Foundation only
Walmart Inc.,Q483551,Retailers,Retail,"1,115,249"
Werner & Mertz GmbH,,Packaged goods companies,household and personal care,"8,580"
Woolworths Holdings Limited,Q958479,Retailers,Retail,"22,084"
Zespri Group Limited,,Packaged goods companies,food,"6,253"
