brand_name,validated,brand_parent_occurances,parent_company_name,id,brand_total_count,brand_frequency
20 oz cup the seinyard restaurant,false,1,seinyard?,seinyard?,1,1
20-20 marino,false,1,marino food products,marino food products,2,1
2021-07-11 0:00:00,false,1,"2021-07-11 0:00:00, 7-11 convenience store, seven & i holdings co., seven and 1 holdings","2021-07-11 0:00:00, 7-11 convenience store, seven & i holdings co., seven and 1 holdings",5,4
2022-07-11 0:00:00,false,2,"7/11 inc, seven & i holdings","7/11 inc, seven & i holdings",6,4
207è½»é—¹é¸³é¸¯å¤¹å¿ƒé¥¼å¹²/qing nao,false,1,qing nao,qing nao,1,1
2080 powershield blue doublemint,false,1,aekyung,aekyung,1,1
23|7,false,1,23|7,23|7,1,1
24 hours,false,1,natura cosméticos s.a.,q3131210,7,1
28 hlebozavod,false,1,28 hlebozavod,28 hlebozavod,1,1
2crack,false,1,roshen,q2635017,1,1
2t nautico,false,1,ypf,ypf,2,1
2t sport,false,1,bellbry lubricants,bellbry lubricants,1,1
2trimo watermelon,true,1,unbranded,unbranded,1,1
3 bears,false,1,3 bears,3 bears,1,1
3 bit,false,1,mondelez international,q12857502,4,2
3 borrachas,false,1,3 borrachas,3 borrachas,6,2
3 cheese spaghetti sauce,false,1,ram,q7288425,2,1
3 happy days,false,1,3 happy days,3 happy days,2,1
3 horses,false,1,3 horses,3 horses,9,1
3 in 1 gulay,false,1,davao king snack inc,davao king snack inc,1,1
3 klucha,false,1,krasniy kluch ltd,krasniy kluch ltd,1,1
3 miá»n,false,1,uniben,uniben,11,1
3 musketeers,false,1,"mars, incorporated",q695087,17,9
3 pipas,false,1,3 pipas,3 pipas,1,1
3 shurupa,false,1,effes,effes,1,1
3#,false,1,hubei laogui bait co. ltd,hubei laogui bait co. ltd,1,1
3-in-one,false,1,wd-40 company limited,wd-40 company limited,1,1
3-stjernet,false,1,atria danmark a/s,atria danmark a/s,6,2
3-stjernet stjernehaps,false,1,atria danmark a/s,atria danmark a/s,3,1
3-way,false,1,johnson & johnson,q333718,1,1
3/4ths of a 6ft cast net,true,1,unbranded,unbranded,1,1
30 unscented candles,false,1,family dollar,q5433101,8,1
32 oz brown quart beer bottle,true,1,unbranded,unbranded,1,1
32 oz wax paper cup,false,1,wendy's,q550258,1,1
3250,false,1,3250,3250,720,1
33 export,false,1,société des boissons du maroc,q2924068,1,1
360 (salted lemon juice),false,1,360 (salted lemon juice),360 (salted lemon juice),2,1
361,false,1,sudamericana de bebidas,sudamericana de bebidas,1,1
361éž‹å­/361â°,false,1,361â°,361â°,1,1
365 days,false,1,lenta ltd,lenta ltd,2,1
375 ml glass bottle,true,1,unbranded,unbranded,1,1
3d,false,1,perfetti van melle,perfetti van melle,1,1
3d buggles,false,1,3d buggles,3d buggles,1,1
3d gum,false,1,perfetti van melle,perfetti van melle,1,1
3m,false,1,3m,q159433,16,9
4,false,1,aldi,q125054,1,1
4 k's,false,1,"good times, usa","good times, usa",1,1
4 you,false,1,incom,incom,1,1
4-liss,true,1,unbranded,unbranded,1,1
405 plastics,false,1,405 plastics,405 plastics,1,1
40v,true,1,unbranded,unbranded,1,1
4700 bc,false,1,4700 bc,4700 bc,1,1
48 kopeek,false,1,nestlé,q160746,1,1
4bro,false,1,ethno iq gmbh,ethno iq gmbh,11,2
4k,false,1,4k,4k,88,1
4life,false,1,4life,4life,1,1
4move proffesional,true,1,unbranded,unbranded,1,1
5 alive,true,1,the coca-cola company,q3295867,116,11
5 fingers,true,1,unbranded,unbranded,1,1
5 gum,false,1,"mars, incorporated",q695087,3,2
5 hour energy,false,1,living essentials,living essentials,18,12
5 star,true,1,mondelez international,q12857502,141,5
"5 ðšð°ð¿ðµð»ñœ, ð’ð¸ñ€ð¾ð±ð½ð¸ðº ð›ñ–ðº",false,1,"5 ðšð°ð¿ðµð»ñœ, ð’ð¸ñ€ð¾ð±ð½ð¸ðº ð›ñ–ðº","5 ðšð°ð¿ðµð»ñœ, ð’ð¸ñ€ð¾ð±ð½ð¸ðº ð›ñ–ðº",1,1
5-hour energy,true,1,innovations ventures llc,https://www.dnb.com/business-directory/company-profiles.innovation_ventures_llc.50e473b672e078ab19afe2315e010a72.html,8,2
5-star energy drink,true,1,innovations ventures llc,https://www.dnb.com/business-directory/company-profiles.innovation_ventures_llc.50e473b672e078ab19afe2315e010a72.html,52,2
5.5,false,1,coop genossenschaft,coop genossenschaft,1,1
50 ml liquor mini bottle,true,1,unbranded,unbranded,1,1
50-50,false,1,britannia,britannia,3,1
51,false,1,companhia muller de bebidas,companhia muller de bebidas,3,2
555,false,1,555,555,2,1
555 sardines,false,1,ligo sardines and mackerel,ligo sardines and mackerel,1,1
555é¦™çƒÿ/state express 555,false,1,state express 555,state express 555,4,1
555é¦™çƒÿç›’/state express 555,false,1,state express 555,state express 555,1,1
594 hi pro vit,false,1,charoen pokphand,q611064,1,1
5alive,false,1,5alive,5alive,21,1
5star,false,1,5star,5star,1,1
5th avenue,false,1,5th avenue,5th avenue,1,1
"6 round bouy""",true,1,unbranded,unbranded,1,1
7 belo,false,1,grupo arcor,q380022,11,1
7 days,false,1,"7days, chipita, chipita international, chipita s.a., muchico bakery - chipita","7days, chipita, chipita international, chipita s.a., muchico bakery - chipita",30,19
7 days croissant,false,1,mondelez international,q12857502,3,1
7 days dessert wrapper,false,1,7days,7days,5,1
7 eleven,true,1,seven & i holdings co.,q639447,112,22
7 eleven lid,false,1,reitan as,q3357065,1,1
7 eleven peanuts,false,1,reitan group,reitan group,1,1
7 povos,false,1,7 povos food products,7 povos food products,1,1
7 select,false,1,"cp all, seven & i holdings co.",q5013767q639447,6,5
7 tea,false,1,umbulan tirta makmur sentosa jaya,umbulan tirta makmur sentosa jaya,5,1
7 up,true,1,pepsico,q334800,37,16
7 up (mineral water),false,1,pepsico,q334800,1,1
7 up nimboos,false,1,pepsico,pepsico,5,1
7 up soda,false,1,emsula,emsula,1,1
7- eleven,false,1,7 eleven inc,7 eleven inc,14,1
7-11 big gulp,false,1,7-11 big gulp,7-11 big gulp,1,1
7-11 cups,false,1,seven & i holdings co.,q639447,5,1
7-11 ice cube,false,1,seven & i holdings co.,q639447,4,2
7-days,false,1,chipita,chipita,1,1
7-eleven,true,1,seven & i holdings co.,q639447,139,58
7-eleven big gulp,false,1,reitan group,reitan group,1,1
7-eleven coffee cups,true,1,seven & i holdings co.,q639447,610,1
7-eleven cool springs water,true,1,seven & i holdings co.,q639447,37,1
7-eleven plastic lid,false,1,reitan as,q3357065,1,1
7-eleven slurpee cups,true,1,seven & i holdings co.,q639447,280,1
7-eleven strawberry lemon,false,1,reitan as,q3357065,3,1
7-eleven styrofoam,false,1,reitan as,q3357065,1,1
7-eleven surpee straws,true,1,seven & i holdings co.,q639447,526,1
"7-eleven, 7 select",false,1,reitan as,q3357065,1,1
7-elevn,false,1,7-elevn,7-elevn,1,1
7-select,false,1,charoen pokphand,q611064,15,10
7-up,false,1,pepsico,q334800,12,4
7/11,false,1,7-eleven,q259340,2,1
7/eleven,false,1,reitan as,q3357065,1,1
70 fiber one,false,1,general mills,q629998,1,1
711,false,1,seven & i holdings co.,q639447,9,2
747,false,1,747,747,1,1
750 ml glass bottle,true,1,unbranded,unbranded,3,1
76,false,1,phillips 66,q1656230,1,1
7ana,false,1,7ana,7ana,1,1
7days,false,1,"7days, chipita","7days, chipita",4,3
7days croissant,false,1,7days croissant,7days croissant,1,1
7eleven,false,1,7 eleven,7 eleven,12,1
7select,false,1,7select,7select,1,1
7tea attack rinso cimory squeeze panda extra joss sunlight nissin stick kapal api mr. bread koko krunch kecap abc  leonett insto luwak white coffee oops pop ice mie sedap pop mie ultra milk frishin flag komo alfamart sari roti top coffe kuku bima rexona i,true,1,other brand,other brand,244,1
7up,true,1,pepsico,q334800,2898,95
7up nigeria ltd,false,1,pepsico,q334800,38,2
"7up,",false,1,7-up,7-up,2,1
8 oz  bottles,true,1,unbranded,unbranded,2,1
8 oz glass bottle,true,1,unbranded,unbranded,1,1
8 oz unknown plastic,true,1,unbranded,unbranded,1,1
8'o clock iced tea,false,1,the coca-cola company,q3295867,2,1
805,false,1,duvel moortgat brewery,q387897,9,2
805 beer,false,1,805 beer,805 beer,1,1
86,false,1,unbranded,unbranded,4,1
88 vape,false,1,88 vape,88 vape,1,1
888 the tarik,false,1,888 the tarik,888 the tarik,13,1
888 white coffee,false,1,888 white coffee,888 white coffee,1,1
8pm whisky,true,1,radico khaitan,q17077257,325,1
9 de oro,false,1,"9 de oro, molino cañuelas","9 de oro, molino cañuelas",32,6
9 round,false,1,9 round,9 round,1,1
911,false,1,hart,hart,1,1
99,false,1,sazerac company,q7429410,4,1
99 brand,false,1,sazerac company,q7429410,2,2
99 proof,false,1,99 proof,99 proof,1,1
99 speedmart,false,1,99 speedmart,99 speedmart,1,1
999/cr sanjiu,false,1,999 cr sanjiu,999 cr sanjiu,1,1
99cent,false,1,99cent,99cent,2,1
99cents only store,false,1,number holdings inc,number holdings inc,1,1
?,true,1,other brand,other brand,103,25
a  c,false,1,agrocentro,agrocentro,2,1
a & j,false,1,a & j,a & j,1,1
a (clear) plastic bottle,false,1,a (clear) plastic bottle,a (clear) plastic bottle,2,1
a bonne,false,1,a plus supply,a plus supply,1,1
a chau,false,1,a chau,a chau,4,1
a cup of cheese,true,1,unbranded,unbranded,1,1
a k foods,false,1,ak foods vellore,ak foods vellore,1,1
a mild,false,1,a mild,a mild,2,2
a mild cigarette box,false,1,a mild cigarette box,a mild cigarette box,3,1
a one milk,false,1,a one milk products private limited,a one milk products private limited,2,1
a r dudh,false,1,a r dudh khamar,a r dudh khamar,2,1
a satu,false,1,karya bina sentausa malang,karya bina sentausa malang,3,2
a satu cigarette box,false,1,a satu cigarette box,a satu cigarette box,4,1
a z z,false,1,a z z,a z z,13,1
a&c,false,1,a&c,a&c,3,1
a&w,false,1,"the coca-cola company, yum! brands",q3295867q668737,35,17
a+,false,1,a+,a+,2,1
a-1 sportswear,false,1,a1 sports,a1 sports,1,1
a-14,false,1,cooperativa arrocera de san salvador ltda,cooperativa arrocera de san salvador ltda,1,1
a-mild,false,1,altria,q445007,1,1
a-mount,false,1,a-mount,a-mount,1,1
a-z,false,1,a-z,q4646960,70,1
a. le coq,false,1,olvi,q4045735,1,1
a. m masale,false,1,aum gruha udyog,aum gruha udyog,1,1
a1,false,1,"a1, amway","a1, amway",1,1
a2 green tea,false,1,a2 green tea,a2 green tea,1,1
a2b,false,1,adyar anand bhavan sweets and snacks,adyar anand bhavan sweets and snacks,2,2
a3 fresh o2,false,1,cv karunia jaya,cv karunia jaya,1,1
aa pharmacy,false,1,aa pharmacy,aa pharmacy,1,1
aachi,false,1,"aachi, aachi group","aachi, aachi group",136,6
aafi,false,1,aafi,aafi,2,1
aah,false,1,nabati group,q19727082,2,1
aai mata,false,1,aai mata farsan and wafers,aai mata farsan and wafers,1,1
aaiga masale,false,1,aaiga masale & food product,aaiga masale & food product,1,1
aamras  paper boat,false,1,hector beverages,hector beverages,3,1
aan,true,1,unbranded,unbranded,1,1
aanandham,true,1,unbranded,unbranded,2,1
aanchal dahi,false,1,aanchal dairy products,aanchal dairy products,9,1
aarey,false,1,sheetal arch,sheetal arch,1,1
aareymilk,false,1,aareymilk,aareymilk,2,1
aarstiderne,false,1,aarstiderne aps,aarstiderne aps,1,1
aashirvaad,false,1,itc,itc,2,1
aashirvaad atta,true,1,itc limited,q1655008,138,2
aashirvaad salt,false,1,itc,itc,1,1
aavin,false,1,tamil nadu co-operative milk producers' federation ltd,tamil nadu co-operative milk producers' federation ltd,19,1
ab,false,1,ab,q11683986,2,2
ab (harpin food ingre corp.ltd.),false,1,ab (harpin food ingre corp.ltd.),ab (harpin food ingre corp.ltd.),1,1
abangku hari-hari,false,1,abangku hari-hari,abangku hari-hari,1,1
abant,false,1,abant,abant,9,2
abant su,false,1,"abant su, abant su","abant su, abant su",6,2
abbott,false,1,abbott laboratories,q306764,10,2
abbott grow gold,false,1,abbott grow gold,abbott grow gold,2,1
abbott nutrition,false,1,abbott laboratories,q306764,1,1
abc,true,1,berkshire hathaway,q217583,183,37
abc alkaline,false,1,intercallin,intercallin,1,1
abc baterai  baterai hp lem uhu baterai energizer,false,1,abc baterai  baterai hp lem uhu baterai energizer,abc baterai  baterai hp lem uhu baterai energizer,5,1
abc chocomalt coffee,false,1,santos jaya abadi,santos jaya abadi,1,1
abc coffe,false,1,q12512104,q12512104,1,1
abc jus,false,1,abc,abc,1,1
abc kecap,false,1,abc kecap,abc kecap,4,2
abc kecup tomat,false,1,abc,abc,1,1
abc kopi,false,1,q12512104,q12512104,22,5
abc kopi mocca,false,1,santos jaya abadi,santos jaya abadi,1,1
abc kopi susu,true,1,q12512104,q12512104,18,9
abc minuman sari kacang hijau 250ml,false,1,kraft heinz,kraft heinz,1,1
abc mocca,false,1,q12512104,q12512104,51,6
abc mocha,false,1,pt santos jaya abadi,pt santos jaya abadi,1,1
abc plus,false,1,"abc, abc plus, santos jaya abadi sidoarjo","abc, abc plus, santos jaya abadi sidoarjo",14,5
abc sambal,false,1,abc,abc,17,4
abc sambal asli,false,1,heinz abc,heinz abc,3,1
abc sambal terasi,false,1,ikafood putramas bandung,ikafood putramas bandung,1,1
abc sir,false,1,belje,belje,6,2
abc soy sauce,false,1,abc,abc,61,1
abc squash,false,1,abc,abc,1,1
abc susu,false,1,santos jaya abadi,santos jaya abadi,4,1
abc terasi,false,1,abc,abc,2,1
abc trasi udang,false,1,abc,abc,1,1
abedul,false,1,good food s.a.,good food s.a.,1,1
abelen,true,1,unbranded,unbranded,1,1
abena,false,1,abena a/s,abena a/s,3,3
abhijaya,false,1,abhijaya,abhijaya,1,1
abi fresh,false,1,abi fresh,abi fresh,2,1
abinbev,false,1,anheuser-busch inbev,q128738,17,3
abk,false,1,abk confectionary company,abk confectionary company,1,1
aboniki balm,false,1,aboniki balm,aboniki balm,1,1
abraaj,false,2,"abraaj, new technology bottling company","abraaj, new technology bottling company",48,3
abraj,false,1,abraj,abraj,9,2
abril,true,1,unbranded,unbranded,1,1
abru,false,1,werner access products,werner access products,1,1
absolut,false,1,local kerala or india brand,local kerala or india brand,1,1
absolut vodka,false,1,pernod ricard,q837049,4,4
absoluta,false,1,unbranded,unbranded,1,1
absolute,false,1,"absolute manufacturing, asia brewery inc., unspecified","absolute manufacturing, asia brewery inc., unspecified",94,19
absolute asia,false,1,absolute asia,absolute asia,11,1
absolute drinking water,false,1,unspecified,unspecified,1,1
absopure,false,1,"absopure, arthur and belle porteus","absopure, arthur and belle porteus",2,2
absopure water,false,1,arthur and belle porteus,arthur and belle porteus,2,1
absperrrband,true,1,unbranded,unbranded,2,1
abtal,false,1,valencia,valencia,5,1
abu garcia,false,1,black wax,black wax,1,1
abyar,false,1,abyar,abyar,12,2
ac food,false,1,acefood,acefood,1,1
acadia,false,1,"acadia, waud capital partners","acadia, waud capital partners",19,8
acadia water,false,1,ahold delhaize,q20539261,5,1
acapulcoco,false,1,acapulcoco,acapulcoco,1,1
accel gel,false,1,accel gel,accel gel,1,1
acdelco,false,1,acdelco,q288170,3,3
ace,false,1,procter & gamble,q212405,93,16
ace (nicotine pouches),false,1,smokey dk aps,smokey dk aps,1,1
ace bandage,false,1,procter & gamble,q212405,1,1
ace brands,false,1,ace brands,ace brands,1,1
ace candeggina,false,1,fater,q48803503,4,1
ace candeggina p&g,false,1,ace candeggina p&g,ace candeggina p&g,2,1
ace cook,false,1,ace cook,ace cook,2,1
ace crackers,false,1,republic biscuit corporation,q7314390,2,2
ace hardware,false,1,ace hardware corporation,ace hardware corporation,3,3
acecook,false,1,acecook,q11291550,29,7
aceite hacendado,false,1,sovena,sovena,1,1
acetaminophen,false,1,mcniel consumer healthcare,mcniel consumer healthcare,2,2
aceto balsamico,false,1,coop,coop,1,1
acetylaystein,false,1,cty cp dp cá»­u long,cty cp dp cá»­u long,1,1
achote,false,1,paige six (6),paige six (6),1,1
achoura (prc),false,1,achoura (prc),achoura (prc),1,1
acivag,false,1,acivag,acivag,1,1
acive sparkle,false,1,simple life trading co ltd,simple life trading co ltd,10,1
ack,false,1,ack group,ack group,2,2
ack cups,false,1,ack food bali,ack food bali,6,1
ack sauce,false,1,lasallefood indonesia,lasallefood indonesia,2,1
ack water,false,1,ack,ack,2,2
acl & a foods,false,1,acl & a foods,acl & a foods,4,1
acme juice,true,1,acme consumer products ltd.,https://acpl.com.bd/,173,4
acme tea,true,1,acme agrovet and beverages ltd,https://www.linkedin.com/company/acplbd/,182,1
acme water,true,1,acme agrovet and beverages ltd,https://www.linkedin.com/company/acplbd/,342,4
acne cream,false,1,drw skincare,drw skincare,3,1
acqua alisea,false,1,norda spa,norda spa,1,1
acqua alpe guizza,false,1,san benedetto,san benedetto,1,1
acqua alpi cozie,false,1,bereacasa,bereacasa,1,1
acqua amata,false,1,acqua amata - casamassima,acqua amata - casamassima,2,2
acqua blues,false,1,eurospin,q1374674,7,3
acqua bonna,false,1,acqua bonna,acqua bonna,6,1
acqua brioblu,false,1,cogedi spa,cogedi spa,2,1
acqua budget,false,1,migros,migros,1,1
acqua castellina,false,1,castellina spa,castellina spa,2,1
acqua clivia,false,1,todis,todis,2,1
acqua conad,false,1,conad,q639075,7,2
acqua cristialia,false,1,terme di courmayeur s.p.a.,terme di courmayeur s.p.a.,1,1
acqua fabia,false,1,"acqua minerale, san gemini spa","acqua minerale, san gemini spa",12,4
acqua ferrarelle,false,1,danone,q329426,11,1
acqua fiordacqua,false,1,acqua fiordacqua,acqua fiordacqua,1,1
acqua fonte eufelia,false,1,sorgente monte bianco spa,sorgente monte bianco spa,1,1
acqua frasassi,false,1,togni spa,togni spa,1,1
acqua fresh tootpaste,false,1,acqua fresh tootpaste,acqua fresh tootpaste,28,1
acqua gaudianello,false,1,monticchio gaudianello s.p.a. (gruppo norda),monticchio gaudianello s.p.a. (gruppo norda),10,1
acqua gia,false,1,togni spa,togni spa,8,1
acqua ginevra,false,1,acqua ginevra,acqua ginevra,3,1
acqua goccia blu,false,1,togni spa,togni spa,1,1
acqua guizza,false,1,acqua minerale,acqua minerale,1,1
acqua leggera,false,1,monticchio gaudianello s.p.a. (gruppo norda),monticchio gaudianello s.p.a. (gruppo norda),23,2
acqua lete,false,1,acqua lete,q3604622,1,1
acqua levissima,false,1,nestlé,q160746,7,1
acqua lieve,false,1,siami spa,siami spa,1,1
acqua lilia,false,1,the coca-cola company,q3295867,3,2
acqua martina,false,1,pontevecchio srl,pontevecchio srl,4,1
acqua monticchio,false,1,monticchio gaudianello s.p.a. (gruppo norda),monticchio gaudianello s.p.a. (gruppo norda),1,1
acqua nepi,false,1,nepi spa,nepi spa,6,2
acqua neve,false,1,spumador spa,spumador spa,1,1
acqua norda,false,1,acqua norda,acqua norda,1,1
acqua panna,false,1,nestlé,q160746,1,1
acqua panorama,false,1,pam panorama spa,pam panorama spa,5,1
acqua rocchetta,false,1,cogedi spa,cogedi spa,2,2
acqua s.stefano,false,1,sorgenti s.stefano,sorgenti s.stefano,1,1
acqua saguaro,false,1,ponte santa fiore,ponte santa fiore,1,1
acqua san benedetto,false,1,san benedetto,san benedetto,34,3
acqua san bernardo,false,1,san bernardo spa,san bernardo spa,1,1
acqua sant'anna,false,1,acqua sant'anna,q3604620,7,3
acqua santa croce,false,1,santa croce spa,santa croce spa,2,1
acqua santo stefano,false,1,acqua santo stefano,acqua santo stefano,1,1
acqua sepinia,false,1,acqua sepinia,acqua sepinia,2,1
acqua soft,true,1,unbranded,unbranded,1,1
acqua sorgesana,false,1,lete spa,lete spa,2,1
acqua sveva,false,1,acqua sveva,acqua sveva,6,2
acqua szentkirã lyi,false,1,szentkirã lyi,szentkirã lyi,1,1
acqua toka,false,1,acqua toka,acqua toka,1,1
acqua tonica,false,1,the coca-cola company,the coca-cola company,1,1
acqua vera,false,1,nestlé,q160746,8,3
acquíssimo,false,1,comexim bebidas,comexim bebidas,2,2
acs manufactoring corp.,false,1,acs manufacturing corporation,acs manufacturing corporation,11,1
act,false,1,act,act,1,1
act ii,false,1,"conagra brands, inc.",q1123399,12,5
act ii popcorn,false,1,act ii popcorn,act ii popcorn,1,1
actavis,true,1,unbranded,unbranded,1,1
actice pure water,false,1,actice pure water,actice pure water,1,1
actifiber natural sugar control,false,1,essens wellness technologies private limited,essens wellness technologies private limited,1,1
actimed,false,1,actimed,actimed,1,1
actimel,false,1,danone,q329426,41,14
actimel drink,false,1,actimel drink,actimel drink,1,1
action,false,1,action synergy,action synergy,1,1
action bitter,true,1,intercontinental distillers limited,intercontinental distillers limited,411,15
action bitters,true,1,intercontinental distillers limited,https://www.idlng.com/,707,5
action-p fertilizer,false,1,î’î¹î¿ïï…î»,î’î¹î¿ïï…î»,1,1
actipro,false,1,madhuri oils,madhuri oils,1,1
actisept,false,1,actisept,actisept,1,1
activ,false,1,wiesgart,wiesgart,3,1
activ o2,false,1,b.j. aqua pvt. ltd,b.j. aqua pvt. ltd,2,2
activa,false,1,snf food ltd,snf food ltd,38,1
activa dannon,false,1,danone,danone,1,1
activarrm hycron ansell,true,1,unbranded,unbranded,1,1
activas,false,1,activas,activas,1,1
active,attempted,1,"none ltd, p-e-t active products cc, simple life trading","none ltd, p-e-t active products cc, simple life trading",1562,3
active fitness,false,1,active fitness,active fitness,1,1
active flyer (frisbee),false,1,active flyer (frisbee),active flyer (frisbee),1,1
active nutrition,false,1,active nutrition,active nutrition,3,1
active o2,false,1,adelholzener,adelholzener,3,1
active sparkle,false,2,"active sparkle, simple life trading  company","active sparkle, simple life trading  company",18,2
active wash,false,1,grangers,grangers,1,1
active wheel 2 in 1,false,1,unilever,q157062,1,1
activia,true,1,danone,q329426,109,20
actus,false,1,actus,q11282973,1,1
actyvia,false,1,danon dnipro,danon dnipro,1,1
adabi,false,1,adabi consumer industries,adabi consumer industries,1,1
adam sari,false,1,adam sari,adam sari,3,1
adams,false,1,adams,adams,45,2
adant,false,1,adant,adant,5,1
adazu,false,1,adazu,adazu,8,1
adaå¾u cipsi,false,1,adaå¾u cipsi,adaå¾u cipsi,2,1
add,false,1,allied blenders and distillers,allied blenders and distillers,1,1
adeas hospitaler,true,1,unbranded,unbranded,1,1
adega homer,false,1,adega homer,adega homer,1,1
adelholzener,false,1,adelholzener alpenquellen gmbh,adelholzener alpenquellen gmbh,3,2
adem sari,false,1,"adam sari, enesis, enesis group, sari enesis indah","adam sari, enesis, enesis group, sari enesis indah",18,15
aden,false,1,"aden beverage co, yemen","aden beverage co, yemen",1,1
ades,true,1,the coca-cola company,q3295867,111,19
adidas,true,1,adidas ag,q3895,22,19
adil yoghourt,false,1,adil yoghourt,adil yoghourt,15,1
aditya cement,false,1,aditya birla group,q357600,1,1
adityaa milk,false,1,unilever,q157062,1,1
adm gold,false,1,vinamilk,q1519175,8,2
adn (mineral water),false,1,adn (mineral water),adn (mineral water),9,1
adoayl,false,1,adocyl,adocyl,8,2
adonis,false,1,adonis water cyprus,adonis water cyprus,5,3
adonko,false,1,adonko company ltd,adonko company ltd,1,1
adonko atadue ginger,false,1,adonko atadue ginger,adonko atadue ginger,5,1
adonko bitters,false,1,adonko bitters,adonko bitters,11,1
adorable,false,1,adorable,adorable,3,2
adrelalina,false,1,emsula,emsula,5,1
adrenaline power,false,1,pepsico,q334800,2,1
adrenaline rush,false,1,pepsico,q334800,1,1
adrenaline shoc,false,1,dr. pepper snapple group,dr. pepper snapple group,1,1
adria,false,1,adria airways,q223191,3,2
adult diaper,true,1,unbranded,unbranded,2,1
adv farma,false,1,adv farma,adv farma,3,1
advil,false,1,pfizer,q206921,5,4
adw lebensmittel gmbh,false,1,adw lebensmittel gmbh,adw lebensmittel gmbh,1,1
adya organics,false,1,adya enterprises,adya enterprises,4,1
aerial,false,1,aerial,aerial,11,2
aero,false,1,nestlé,q160746,3,2
aerobie,false,1,aerobie,aerobie,1,1
aeroguard,false,1,aeroguard,aeroguard,1,1
aeroheads,true,1,unbranded,unbranded,1,1
aerozol,false,1,adidas ag,q3895,2,1
aersol can,true,1,unbranded,unbranded,1,1
af deutchland,false,1,af deutchland,af deutchland,2,1
afanasy,false,1,afanasy holding company,afanasy holding company,5,3
afc,false,1,afc,q11291513,4,4
afc sushi,false,1,afc sushi,afc sushi,11,1
afer,false,1,afer,afer,1,1
